Order ID,Time,Plate,Drink
AA76212,13,pasta,water
AA39508,18,rice,water
AA96881,23,pasta,coke
AA18322,23:40,pizza,coke
AA71490,12:30,Eggs,wine
AA56343,12:30,Vegetables,coke
AA47002,22,None,water
AA99235,23,pizza,coke
AA58573,12,Tuna,wine
AA78718,22,None,water
AA65515,19:30,Soup,water
AA58604,24,None,coke
AA25464,13,None,water
AA61692,12,None,water
AA13631,23,Tuna,water
AA61146,13,pizza,coke
AA98912,19:45,Salmon,coke
AA45163,20:10,pasta,water
AA36457,20:00,pasta,water
AA92074,None,pasta,None
AA69378,10:00,pizza,None
AA57215,10:30,pizza,None
AA43212,10:00,pizza,None
AA91701,19:30,pasta,None
AA35711,19:00,pizza,None
AA77223,20:30,pizza,cola
AA36887,22,pizza,cola
AA98618,23,pizza,cola
AA62642,12:30,pizza,water
AA24142,12:30,pizza,water
AA31850,22,Tuna,water
AA89925,15:45,pasta,wine
AA99682,22:15,None,water
AA17678,23:45,pizza,cola
AA13361,12:30,Tuna,wine
AA98773,12:23,Tuna,wine
AA13469,13:43,Tuna,cola
AA81414,22,None,water
AA66782,22,None,water
AA96006,12:13,Vegetables,cola
AA78575,22:45,carbonara,wine
AA20986,22:14,Falafel_burgers,beer
